ipr	description
IPR000089	Biotin/lipoyl attachment
IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
IPR044640	U2 small nuclear ribonucleoprotein A'
IPR013760	DNA topoisomerase, type IIA-like domain superfamily
IPR002937	Amine oxidase
IPR015395	C-myb, C-terminal
IPR010276	Allatostatin
IPR013724	GIT, Spa2 homology (SHD) domain
IPR006048	Alpha-amylase/branching enzyme, C-terminal all beta
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type
IPR016061	Proline-tRNA ligase, class II, C-terminal
IPR017449	Prolyl-tRNA synthetase, class II
IPR033721	Prolyl-tRNA synthetase, catalytic domain
IPR047549	BICC1, first type I KH domain
IPR029041	FAD-linked oxidoreductase-like
IPR008422	Homeobox KN domain
IPR035425	CENP-T/Histone H4, histone fold
IPR014886	La protein, xRRM domain
IPR019494	FIST, C-domain
IPR047162	Ankyrin repeat and SAM domain-containing protein 3
IPR006153	Cation/H+ exchanger
IPR016163	Aldehyde dehydrogenase, C-terminal
IPR027054	Mannosyltransferase ALG2
IPR006266	UMP-CMP kinase
IPR007722	mRNA decapping protein 2, Box A domain
IPR009286	Inositol-pentakisphosphate 2-kinase
IPR011008	Dimeric alpha-beta barrel
IPR011322	Nitrogen regulatory PII-like, alpha/beta
IPR015399	Domain of unknown function DUF1977, DnaJ-like
IPR015867	Nitrogen regulatory protein PII/ATP phosphoribosyltransferase, C-terminal
IPR036189	mRNA decapping protein 2, Box A domain superfamily
IPR044099	mRNA decapping enzyme 2 ,  NUDIX hydrolase domain
IPR020472	G-protein beta WD-40 repeat
IPR024083	Fumarase/histidase, N-terminal
IPR007471	N-end aminoacyl transferase, N-terminal
IPR030700	N-end rule aminoacyl transferase
IPR006911	Armadillo repeat-containing domain
IPR019178	Phosphatidylinositol 4,5-bisphosphate 4-phosphatase
IPR001329	Glycoside hydrolase family 56, bee venom hyaluronidase
IPR039338	Zinc finger TRAF-type-containing protein 1
IPR046426	Daxx, histone-binding domain superfamily
IPR001090	Ephrin receptor ligand binding domain
IPR001905	Ammonium transporter
IPR010788	VDE lipocalin domain
IPR005061	Vacuolar protein sorting-associated protein Ist1
IPR042277	Vacuolar protein sorting-associated protein IST1-like
IPR035014	cGMP-dependent protein kinase, catalytic domain
IPR036616	Poly(ADP-ribose) polymerase, regulatory domain superfamily
IPR044746	ABC transporter C family, six-transmembrane helical domain 1
IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family
IPR015525	Breast cancer type 2 susceptibility protein
IPR004018	RPEL repeat
IPR006677	tRNA intron endonuclease, catalytic domain-like
IPR042972	Insulinoma-associated protein 1/2
IPR043545	Glutamate receptor-interacting protein 1/2
IPR037695	IQ and ubiquitin-like domain-containing protein
IPR002661	Ribosome recycling factor
IPR023584	Ribosome recycling factor domain
IPR015797	NUDIX hydrolase-like domain superfamily
IPR001563	Peptidase S10, serine carboxypeptidase
IPR040447	Rrp7, RRM-like N-terminal domain
IPR024857	Cappuccino
IPR038211	Ant venom allergen, Sol i 2/4 superfamily
IPR014358	Enoyl-[acyl-carrier-protein] reductase (NADH)
IPR039665	APBB1IP, PH domain
IPR009635	Neural proliferation differentiation control-1
IPR001085	Serine hydroxymethyltransferase
IPR039429	Serine hydroxymethyltransferase-like domain
IPR011992	EF-hand domain pair
IPR045160	Autophagy-related protein 16
IPR040395	Tetratricopeptide repeat protein 19
IPR004014	Cation-transporting P-type ATPase, N-terminal
IPR032498	PI3K regulatory subunit p85-related , inter-SH2 domain
IPR035022	PI3K p85 subunit, N-terminal SH2 domain
IPR004009	Myosin, N-terminal, SH3-like
IPR007889	DNA binding HTH domain, Psq-type
IPR015163	Cdc6, C-terminal
IPR034174	SHARP, RNA recognition motif 3
IPR000357	HEAT repeat
IPR027330	TPX2 central domain
IPR024990	Anaphase-promoting complex subunit 1
IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
IPR033028	Whirlin, harmonin_N-like domain 2
IPR004527	Glutamate-tRNA ligase, bacterial/mitochondrial
IPR008162	Inorganic pyrophosphatase
IPR002877	Ribosomal RNA methyltransferase, FtsJ domain
IPR047109	Cinnamyl alcohol dehydrogenase-like
IPR045175	Peptidase M28 family
IPR022125	U3 small nucleolar RNA-associated protein 10, N-terminal
IPR003767	Malate/L-lactate dehydrogenase-like
IPR036111	Malate/L-sulfolactate/L-lactate dehydrogenase-like superfamily
IPR043143	Malate/L-sulfolactate/L-lactate dehydrogenase-like, NADPH binding domain
IPR043144	Malate/L-sulfolactate/L-lactate dehydrogenase-like, alpha-helical domain
IPR014912	Selenoprotein F/M domain
IPR020825	Phenylalanyl-tRNA synthetase-like, B3/B4
IPR010971	Ubiquinone biosynthesis hydroxylase UbiH/COQ6
IPR002884	P domain
IPR005302	Molybdenum cofactor sulfurase, C-terminal
IPR009818	Ataxin-2, C-terminal
IPR022682	Peptidase C2, calpain, large subunit, domain III
IPR022683	Peptidase C2, calpain, domain III
IPR036213	Calpain large subunit, domain III superfamily
IPR003663	Sugar/inositol transporter
IPR003656	Zinc finger, BED-type
IPR037679	Anaphase-promoting complex subunit 5
IPR011115	SecA DEAD-like, N-terminal
IPR037840	Anillin, PH domain
IPR045121	Coenzyme A pyrophosphatase
IPR006629	LPS-induced tumour necrosis factor alpha factor
IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
IPR011356	Peptidase M17, leucine aminopeptidase/peptidase B
IPR004012	RUN domain
IPR041369	TrmO, C-terminal
IPR045191	E3 ubiquitin-protein ligase MBR1/2-like
IPR012969	Fibrinogen binding protein
IPR031964	Caspase recruitment domain
IPR041901	Rpa43, N-terminal ribonucleoprotein (RNP) domain
IPR027871	Protein of unknown function DUF4603
IPR007122	Villin/Gelsolin
IPR008147	Glutamine synthetase, N-terminal domain
IPR041429	Inositol-tetrakisphosphate 1-kinase, N-terminal
IPR024337	tRNA-splicing endonuclease, subunit Sen54
IPR040370	Coiled-coil domain-containing protein 74A/74B/92
IPR004855	Transcription factor IIA, alpha/beta subunit
IPR002872	Proline dehydrogenase domain
IPR015615	Transforming growth factor-beta-related
IPR024704	Structural maintenance of chromosomes protein
IPR026896	Transcription termination and cleavage factor, C-terminal domain
IPR038192	Transcription termination and cleavage factor, C-terminal domain superfamily
IPR007320	Programmed cell death protein 2, C-terminal
IPR001519	Ferritin
IPR044598	Zinc finger CCHC-type and RNA-binding motif-containing protein 1
IPR011604	PD-(D/E)XK endonuclease-like domain superfamily
IPR000185	Protein translocase subunit SecA
IPR038904	BRCA1-associated ATM activator 1
IPR033726	LIM2 prickle
IPR033727	LIM3 prickle
IPR002474	Carbamoyl-phosphate synthase small subunit, N-terminal domain
IPR036480	Carbamoyl-phosphate synthase small subunit, N-terminal domain superfamily
IPR025974	Mif2/CENP-C cupin domain
IPR031878	Commissureless
IPR037745	Small G protein signalling modulator 1/2, PH domain
IPR011722	Hemimethylated DNA-binding domain
IPR013740	Redoxin
IPR044726	ABC transporter C family, six-transmembrane helical domain 2
IPR015158	Bud22 domain
IPR006676	tRNA-splicing endonuclease
IPR042091	Ska2, N-terminal
IPR006696	Protein of unknown function DUF423
IPR019346	39S ribosomal protein L42, mitochondrial
IPR040075	Glutathione S-transferase Theta, N-terminal
IPR013196	Helix-turn-helix, type 11
IPR012336	Thioredoxin-like fold
IPR022023	U1 small nuclear ribonucleoprotein of 70kDa N-terminal
IPR034143	snRNP70, RNA recognition motif
IPR045866	Protein FAM210A/B-like
IPR023674	Ribosomal protein L1-like
IPR030847	Mitochondrial glycine transporter Hem25/SLC25A38
IPR027410	TCP-1-like chaperonin intermediate domain superfamily
IPR023082	Homeo-prospero domain
IPR037131	Homeo-prospero domain superfamily
IPR010448	Torsin
IPR023239	FAM175 family, BRCA1-A complex, Abraxas 1 subunit
IPR041257	Adenomatous polyposis coli (APC) repeat
IPR029201	Jiraiya
IPR011430	U3 small nucleolar RNA-associated protein 20, N-terminal
IPR046523	U3 small nucleolar RNA-associated protein 20, C-terminal
IPR001211	Phospholipase A2
IPR017993	Atrophin-1
IPR029061	Thiamin diphosphate-binding fold
IPR026512	RGS7BP/RGS9BP family
IPR045032	Pectin lyase family
IPR044762	DHX8/ Prp22, DEXH-box helicase domain
IPR036529	Coactivator CBP, KIX domain superfamily
IPR018785	Cysteine-rich domain, DPF-motif
IPR008253	Marvel domain
IPR029416	Cilia- and flagella-associated protein 300
IPR024185	5-formyltetrahydrofolate cyclo-ligase-like domain superfamily
IPR001461	Aspartic peptidase A1 family
IPR047471	Diacylglycerol kinase beta-like, first protein kinase C conserved region 1
IPR040191	U3 small nucleolar RNA-associated protein 10
IPR012973	NOG, C-terminal
IPR006274	Carbamoyl-phosphate synthase, small subunit
IPR035686	Carbamoyl-phosphate synthase small subunit, GATase1 domain
IPR002492	Transposase, Tc1-like
IPR013260	mRNA splicing factor SYF2
IPR000333	Ser/Thr protein kinase, TGFB receptor
IPR031994	Janus kinase and microtubule-interacting protein, C-terminal domain
IPR037193	GDNF receptor alpha
IPR044189	Exportin 4/7-like
IPR043384	Reticulophagy receptor 1/3
IPR022097	Transcription factor SOX
IPR036770	Ankyrin repeat-containing domain superfamily
IPR002398	Peptidase C14 family
IPR010285	DNA helicase Pif1-like
IPR041872	Methionyl-tRNA synthetase, anticodon-binding domain
IPR012429	Heparan-alpha-glucosaminide N-acetyltransferase, catalytic domain
IPR047545	E3 ubiquitin-protein ligase RNF216, BRcat domain
IPR047546	E3 ubiquitin-protein ligase RNF216, Rcat domain
IPR005303	Molybdenum cofactor sulfurase, middle domain
IPR044855	CoA-transferase family III domain 3 superfamily
IPR011599	Prefoldin alpha subunit, archaea-type
IPR037863	Rho GTPase-activating protein 6/36
IPR042856	Radial spoke protein 14
IPR013658	SMP-30/Gluconolactonase/LRE-like region
IPR031804	Domain of unknown function DUF4743
IPR045357	Aminopeptidase N-like , N-terminal domain
IPR013979	Translation initiation factor, beta propellor-like domain
IPR007216	CCR4-NOT transcription complex subunit 9
IPR004434	Isocitrate dehydrogenase NAD-dependent
IPR017437	ATP-NAD kinase, PpnK-type, C-terminal
IPR000494	Receptor L-domain
IPR036941	Receptor L-domain superfamily
IPR009126	Cholecystokinin receptor
IPR025164	Putative adhesin
IPR019326	Protein NDNF
IPR002298	DNA polymerase A
IPR045322	E3 ubiquitin-protein ligase HECTD1/TRIP12-like
IPR017330	Sperm-associated antigen 7
IPR039164	E3 ubiquitin-protein ligase UBR1-like
IPR031851	Protein of unknown function DUF4750
IPR003127	SoHo domain
IPR028307	Lin-54 family
IPR035170	Metastasis-associated protein MTA1, R1 domain
IPR044154	ADP-ribosylation factor-like protein 8A/8B
IPR002022	Pectate lyase
IPR001265	Formin homology family, Cappuccino subfamily
IPR007007	Ninjurin
IPR045241	WD repeat Prp46/PLRG1-like
IPR035436	Dystrophin/utrophin
IPR008554	Glutaredoxin-like
IPR005478	Transketolase, bacterial-like
IPR033247	Transketolase family
IPR040477	Lysine-specific demethylase 4, Tudor domain
IPR003993	Treacle protein domain
IPR027805	Transposase, Helix-turn-helix domain
IPR031907	Germinal-centre associated nuclear protein, MCM3AP domain
IPR013584	RAP domain
IPR010378	Trafficking protein particle complex subunit 13
IPR018798	Multivesicular body subunit 12
IPR005554	NOL6/Upt22
IPR047227	RNA-binding protein MEX3
IPR002677	Ribosomal protein L32p
IPR044733	AP-1 complex subunit sigma
IPR026283	Beta-galactosidase 1-like
IPR008381	Succinate dehydrogenase assembly factor 3, mitochondrial
IPR035435	Diphthamide synthesis DHP1/DPH2, eukaryotes and archaea
IPR012948	AARP2CN
IPR001962	Asparagine synthase
IPR007734	Heparan sulphate 2-O-sulfotransferase
IPR025986	RNA-polymerase II-associated protein 3-like, C-terminal domain
IPR021684	WW domain-binding protein 1-like
IPR002784	Ribosomal protein L14e domain
IPR039660	Ribosomal protein L14
IPR007249	Dopey, N-terminal
IPR041645	ADAMTS, cysteine-rich domain 2
IPR041091	RPGRIP1, C-terminal
IPR037968	Protein polybromo-1, Bromodomain 5
IPR019135	Polycomb protein, VEFS-Box
IPR016151	DNA mismatch repair protein MutS, N-terminal
IPR000890	Aliphatic acid kinase, short-chain
IPR001516	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal
IPR002505	Phosphate acetyl/butaryl transferase
IPR003474	Gluconate transporter
IPR003560	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
IPR004372	Acetate/propionate kinase
IPR004614	Phosphate acetyltransferase
IPR010313	Glycine N-acyltransferase
IPR018227	Amino acid/polyamine transporter 2
IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
IPR020287	Tail sheath protein, C-terminal domain
IPR024730	Merozoite surface protein, EGF domain 1
IPR035089	Tail sheath protein, subtilisin-like domain
IPR041500	RecC, C-terminal
IPR042112	Phosphate acetyltransferase, domain 2
IPR047359	Polycomb protein Sfmbt, second MBT repeat
IPR026092	Retinoic acid-induced protein 2/sine oculis-binding protein homologue
IPR020234	Mite allergen, group-7
IPR036438	Insulin-like superfamily
IPR002666	Reduced folate carrier
IPR006114	6-phosphogluconate dehydrogenase, C-terminal
IPR006183	6-phosphogluconate dehydrogenase
IPR036855	Zinc finger, CCCH-type superfamily
IPR040391	BEN domain-containing protein 5
IPR020445	Tumour necrosis factor receptor 4
IPR040165	Delta(24)-sterol reductase
IPR039977	Histone-lysine N-methyltransferase Suv4-20/Set9
IPR032319	Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain
IPR036361	SAP domain superfamily
IPR001107	Band 7 domain
IPR036649	Inorganic pyrophosphatase superfamily
IPR004294	Carotenoid oxygenase
IPR014896	NHR2-like
IPR002413	Venom allergen 5-like
IPR018391	Pyrrolo-quinoline quinone beta-propeller repeat
IPR014790	MutL, C-terminal, dimerisation
IPR033121	Peptidase family A1 domain
IPR003701	DNA double-strand break repair protein Mre11
IPR017261	DNA mismatch repair protein MutS/MSH
IPR027996	Tubulin epsilon and delta complex protein 1 domain
IPR032071	Domain of unknown function DUF4806
IPR045850	tRNA (uracil(54)-C(5))-methyltransferase, metazoa type
IPR011363	Dorsal-related immunity factor Dif
IPR019814	Translation initiation factor 3, N-terminal
IPR027059	Coatomer delta subunit
IPR036846	GM2-AP, lipid-recognition domain superfamily
IPR022194	Protein of unknown function DUF3719
IPR044444	MRPL44, double-stranded RNA binding domain
IPR045877	RNA-binding protein ZFP36-like
IPR000995	Muscarinic acetylcholine receptor family
IPR024931	Importin subunit alpha
IPR037302	Protein Unc-13, C2B domain
IPR047326	PLEKHM1, RUN domain
IPR031761	Folded gastrulation, N-terminal domain
IPR029397	Tube, Death domain
IPR034025	ADAM10/ADAM17 catalytic domain
IPR018933	Netrin module, non-TIMP type
IPR003817	Phosphatidylserine decarboxylase-related
IPR005824	KOW
IPR032375	Cerebral cavernous malformations 2, harmonin-homology domain
IPR037354	COMM domain-containing protein 2
IPR026104	Zinc finger C2HC domain-containing protein 1C
IPR031737	Condensin-2 complex subunit H2, C-terminal
IPR028172	Intraflagellar transport protein 20
IPR044675	E3 ubiquitin-protein ligase RING1-like
IPR000204	Orexin receptor family
IPR010159	N-acyl-L-amino-acid amidohydrolase
IPR001711	Phospholipase C, phosphatidylinositol-specific, Y domain
IPR000055	Type I restriction modification DNA specificity domain
IPR000835	MarR-type HTH domain
IPR000843	LacI-type HTH domain
IPR001761	Periplasmic binding protein/LacI sugar binding domain
IPR004379	UDP-galactopyranose mutase
IPR004983	Mlp lipoprotein
IPR006119	Resolvase, N-terminal catalytic domain
IPR007921	CHAP domain
IPR009459	MucBP domain
IPR012110	Thiamine pyrophosphate (TPP)-dependent enzyme
IPR014940	BAAT/Acyl-CoA thioester hydrolase C-terminal
IPR015899	UDP-galactopyranose mutase, C-terminal
IPR016628	ATPase, SAG2001, predicted
IPR021223	Abortive phage resistance protein AbiGi
IPR036162	Resolvase-like, N-terminal catalytic domain superfamily
IPR036977	DNA Primase, CHC2-type zinc finger
IPR039422	Transcription regulators MarR/SlyA-like
IPR041219	Phage tail lysozyme
IPR044194	Protein BLISTER
IPR044946	Type I restriction modification DNA specificity domain superfamily
IPR047213	Pyruvate decarboxylase/indolepyruvate decarboxylase-like, pyrimidine-binding domain
IPR047214	Pyruvate decarboxylase/indolepyruvate decarboxylase-like, PP-binding domain
IPR034421	Probable RNA-binding protein 19, RNA recognition motif 6
IPR026832	Asteroid
IPR003034	SAP domain
IPR024728	DNA polymerase type-Y, HhH motif
IPR041862	Endoplasmic reticulum resident protein 44, TRX-like domain b'
IPR012958	CHD, N-terminal
IPR002933	Peptidase M20
IPR001613	Flavin amine oxidase
IPR016589	tRNA-splicing endonuclease, SEN2 subunit
IPR037198	MutL, C-terminal domain superfamily
IPR018121	Seven-in-absentia protein, TRAF-like domain
IPR013992	Adenylate cyclase-associated CAP, N-terminal
IPR015142	Smac/DIABLO protein
IPR022727	Pupal cuticle protein C1
IPR008604	Microtubule-associated protein 7 family
IPR019175	Prp31 C-terminal
IPR027105	U4/U6 small nuclear ribonucleoprotein Prp31
IPR035068	Metalloprotease TldD/PmbA, N-terminal
IPR036059	Metalloprotease TldD/PmbA superfamily
IPR045569	Metalloprotease TldD/E, C-terminal domain
IPR045570	Metalloprotease TldD/E, central domain
IPR045293	LYRM2, LYR domain
IPR008710	Nicastrin
IPR009441	P40 nucleoprotein, Borna disease virus
IPR019038	DNA polymerase delta subunit 3
IPR041913	DNA polymerase delta subunit 3 superfamily
IPR018619	Hyccin
IPR015273	Cysteinyl-tRNA synthetase, class Ia, DALR
IPR008195	Ribosomal protein L34Ae
IPR039175	Mitochondrial import inner membrane translocase subunit TIM22
IPR017276	Synthesis of cytochrome c oxidase, Sco1/Sco2
IPR002737	MEMO1 family
IPR011948	Dullard phosphatase domain, eukaryotic
IPR031983	Protein of unknown function DUF4786
IPR039496	CCDC92/74, N-terminal
IPR036036	SOCS box-like domain superfamily
IPR033561	Fas-binding factor 1
IPR001597	Aromatic amino acid beta-eliminating lyase/threonine aldolase
IPR017868	Filamin/ABP280 repeat-like
IPR000424	Primosome PriB/single-strand DNA-binding
IPR002549	Transmembrane protein TqsA-like
IPR011344	Single-stranded DNA-binding protein
IPR015172	MIF4G-like, type 1
IPR015174	MIF4G-like, type 2
IPR027159	Nuclear cap-binding protein subunit 1
IPR028267	Rapamycin-insensitive companion of mTOR, N-terminal domain
IPR028268	Pianissimo family
IPR029451	Rapamycin-insensitive companion of mTOR, middle domain
IPR029452	Rapamycin-insensitive companion of mTOR, domain 5
IPR029453	Rapamycin-insensitive companion of mTOR, domain 4
IPR020476	NUDIX hydrolase
IPR035372	Malonyl-CoA decarboxylase, N-terminal
IPR042303	Malonyl-CoA decarboxylase, C-terminal catalytic domain superfamily
IPR021429	Mediator complex, subunit Med24,
IPR001313	Pumilio RNA-binding repeat
IPR021966	Splicing factor SF3a60 binding domain
IPR024598	Splicing factor SF3a60 /Prp9 subunit, C-terminal
IPR025086	SDE2-like, C-terminal domain
IPR031774	SF3A3 domain
IPR011072	HR1 rho-binding domain
IPR000432	DNA mismatch repair protein MutS, C-terminal
IPR002515	Zinc finger, C2H2C-type
IPR010506	DMAP1-binding domain
IPR001392	Clathrin adaptor, mu subunit
IPR045116	Polyribonucleotide 5-hydroxyl-kinase Clp1/Grc3
IPR002225	3-beta hydroxysteroid dehydrogenase/isomerase
IPR036134	Cryptochrome/DNA photolyase, FAD-binding domain-like superfamily
IPR030541	Rabphilin-1
IPR020128	Secapin
IPR008615	FNIP
IPR035361	Honey bee toxin
IPR037378	PIKfyve, DEP domain
IPR034132	Retropepsin Saci-like domain
IPR028916	Tox-GHH domain
IPR034359	MTHFSD, RNA recognition motif
IPR015637	Uracil DNA glycosylase family 2
IPR000330	SNF2, N-terminal
IPR038718	SNF2-like, N-terminal domain superfamily
IPR022034	Fragile X messenger ribonucleoprotein 1-like, C-terminal core
IPR001518	Argininosuccinate synthase
IPR024074	Argininosuccinate synthetase, catalytic/multimerisation domain body
IPR000485	AsnC-type HTH domain
IPR001707	Chloramphenicol acetyltransferase
IPR002629	Cobalamin-independent methionine synthase MetE, C-terminal/archaeal
IPR005488	N-acetylmuramic acid 6-phosphate etherase MurQ
IPR034808	Nop4, RNA recognition motif 3
IPR037442	Melanophilin, FYVE-related domain
IPR040190	N-acetylmuramic acid 6-phosphate etherase/glucokinase regulatory protein
IPR032405	Kinesin-associated
IPR019023	Lamin-B receptor of TUDOR domain
IPR016036	Malonyl-CoA ACP transacylase, ACP-binding
IPR045054	Prolyl 4-hydroxylase
IPR041863	DNA polymerase delta subunit 2, C-terminal domain
IPR007596	Viral A-type inclusion protein repeat
IPR012105	Sperm surface protein Sp17
IPR042041	Protein transport protein Tip20, domain A
IPR045300	MIEF1-MP, LYR domain
IPR029681	Coiled-coil domain-containing protein 157
IPR033539	Retroviral-like aspartic protease 1
IPR037008	Cytochrome bc1 complex subunit Rieske, transmembrane domain superfamily
IPR034720	Viral alkaline exonuclease
IPR005841	Alpha-D-phosphohexomutase superfamily
IPR026955	Biorientation of chromosomes in cell division protein 1-like
IPR039992	Selenoprotein F/M
IPR032065	E3 ubiquitin-protein ligase RNF31, UBA-like domain
IPR040187	OCIA domain-containing protein 1/2
IPR044210	Transcription facto Tfc3-like
IPR018838	Domain of unknown function DUF2439
IPR001594	Palmitoyltransferase, DHHC domain
IPR037811	Dedicator of cytokinesis B, C2 domain
IPR002044	Carbohydrate binding module family 20
IPR019377	NADH-ubiquinone oxidoreductase, subunit 10
IPR032448	SMARCC, SWIRM-associated domain
IPR032451	SMARCC, C-terminal
IPR039993	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
IPR010596	Methuselah, N-terminal domain
IPR037837	Kindlin/fermitin, PH domain
IPR046941	Lysine-specific demethylase 6, GATA-like domain superfamily
IPR035240	SprT-like, zinc ribbon domain
IPR032296	Cytoplasmic polyadenylation element-binding protein, ZZ domain
IPR034819	Cytoplasmic polyadenylation element-binding protein
IPR038446	CEBP, ZZ domain superfamily
IPR035940	CAP superfamily
IPR011899	Glutaredoxin, eukaryotic/virial
IPR014025	Glutaredoxin subgroup
IPR041796	Mre11 nuclease, N-terminal metallophosphatase domain
IPR027268	Peptidase M4/M1, CTD superfamily
IPR006349	2-phosphoglycolate phosphatase, eukaryotic
IPR013923	Autophagy-related protein 16 domain
IPR028784	Bardet-Biedl syndrome 1 protein
IPR033760	Integrin beta N-terminal
IPR043640	AF4/FMR2, C-terminal homology domain
IPR038900	Transmembrane channel-like protein
IPR045134	UHRF1/2-like
IPR027496	Acireductone dioxygenase, eukaryotes
IPR001684	Ribosomal protein L27
IPR021935	Small G protein signalling modulator 1/2, Rab-binding domain
IPR031896	INPP5B, PH domain
IPR047078	Inositol polyphosphate 5-phosphatase OCRL, RhoGAP
IPR033883	Calpain subdomain III
IPR009653	Protein kish
IPR001623	DnaJ domain
IPR021643	Mediator complex, subunit Med13, N-terminal
IPR010097	Malate dehydrogenase, type 1
IPR041247	Rad52 family
IPR042525	DNA repair protein Rad52/59/22 superfamily
IPR019513	Centromere protein Cenp-F, leucine-rich repeat-containing domain
IPR027846	Cytochrome b-245 chaperone 1
IPR004192	Cytochrome b-c1 complex subunit Rieske, transmembrane domain
IPR001846	von Willebrand factor, type D domain
IPR032263	ATP-citrate synthase, citrate-binding domain
IPR005026	SAPAP family
IPR027512	Eukaryotic translation initiation factor 3 subunit A
IPR047240	Pre-mRNA splicing factor component CDC5L/Cef1, second SANT/myb-like domain
IPR029158	Stimulator of interferon genes protein
IPR038623	Stimulator of interferon genes protein, C-terminal domain superfamily
IPR005160	Ku70/Ku80 C-terminal arm
IPR045358	Ty3 transposon capsid-like protein
IPR036187	DNA mismatch repair protein MutS, core domain superfamily
IPR045076	DNA mismatch repair MutS family
IPR000109	Proton-dependent oligopeptide transporter family
IPR013607	Phospholipase A2-like domain
IPR020454	Diacylglycerol/phorbol-ester binding
IPR013273	ADAMTS/ADAMTS-like
IPR009667	Protein of unknown function DUF1258
IPR024050	AICAR transformylase, insert domain superfamily
IPR036060	Zinc finger, C2H2C-type superfamily
IPR033739	Peptidase M10A, catalytic domain
IPR000133	ER lumen protein retaining receptor
IPR027413	GroEL-like equatorial domain superfamily
IPR025789	Histone-lysine N-methyltransferase DOT1 domain
IPR001708	Membrane  insertase YidC/ALB3/OXA1/COX18
IPR011107	Type 1 protein phosphatase inhibitor
IPR015527	Peptidase C26, gamma-glutamyl hydrolase
IPR003594	Histidine kinase/HSP90-like ATPase
IPR020843	Polyketide synthase, enoylreductase domain
IPR031139	RPGRIP1 family
IPR028586	Adenylate kinase 3/4, mitochondrial
IPR013618	Protein O-mannosyl-transferase TMTC, DUF1736
IPR007956	Malonyl-CoA decarboxylase, C-terminal
IPR038351	Malonyl-CoA decarboxylase, N-terminal domain superfamily
IPR038917	Malonyl-CoA decarboxylase
IPR005000	HpcH/HpaI aldolase/citrate lyase domain
IPR011206	Citrate lyase beta subunit-like
IPR035061	Shark-like, N-terminal SH2 domain
IPR040186	Citramalyl-CoA lyase
IPR004856	Glycosyl transferase, ALG6/ALG8
IPR016257	Ephrin receptor type-A /type-B
IPR036794	ATP synthase delta/epsilon subunit, C-terminal domain superfamily
IPR016464	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 2
IPR003105	SRA-YDG
IPR036987	SRA-YDG superfamily
IPR020807	Polyketide synthase, dehydratase domain
IPR007277	Svp26/Tex261
IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)
IPR044421	SMYD4, SET domain
IPR004119	Ecdysteroid kinase-like
IPR019179	Coiled-coil domain-containing protein 149-A
IPR043565	PAX family
IPR002975	Fungal G-protein, alpha subunit
IPR009299	Gammaherpesvirus capsid
IPR033533	Proline-rich protein 27
IPR002420	C2 phosphatidylinositol 3-kinase-type domain
IPR032777	Domain of unknown function DUF4515
IPR000237	GRIP domain
IPR046973	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1, catalytic domain
IPR006825	Eclosion hormone
IPR004312	Arabidopsis retrotransposon Orf1
IPR018479	Monopolin complex subunit Lrs4/Mde4
IPR018904	Uncharacterised protein family UPF0574
IPR028357	UDP-glucose 6-dehydrogenase, bacterial type
IPR035507	Unconventional myosin-Ie/If, SH3 domain
IPR026533	Non-canonical purine NTP phosphatase/PRRC1
IPR026534	Protein PRRC1
IPR029052	Metallo-dependent phosphatase-like
IPR023311	Methuselah ectodomain, domain 2
IPR000421	Coagulation factor 5/8 C-terminal domain
IPR036352	Sema domain superfamily
IPR011600	Peptidase C14, caspase domain
IPR000863	Sulfotransferase domain
IPR013792	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta
IPR036975	Importin-alpha, importin-beta-binding domain superfamily
IPR001283	Cysteine-rich  secretory protein-related
IPR014043	Acyl transferase
IPR011033	PRC-barrel-like superfamily
IPR001892	Ribosomal protein S13
IPR010979	Ribosomal protein S13-like, H2TH
IPR027437	30s ribosomal protein S13, C-terminal
IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
IPR021656	RPGR-interacting protein 1, first C2 domain
IPR007701	Interferon-related developmental regulator, N-terminal
IPR007803	Aspartyl/asparaginy/proline hydroxylase
IPR046353	Cystathionine beta-synthase, C-terminal domain
IPR046978	Myotubularin-related protein 4, FYVE domain
IPR040067	WD repeat-containing protein 47
IPR037428	Bridging integrator 3, BAR domain
IPR001910	Inosine/uridine-preferring nucleoside hydrolase domain
IPR036452	Ribonucleoside hydrolase-like
IPR027095	Golgin-45
IPR035433	NFU1-like
IPR039902	Coiled-coil domain-containing protein CCDC148/CCDC112
IPR024650	Peptidase A2B, Ty3 transposon peptidase
IPR009097	Cyclic phosphodiesterase
IPR028364	Ribosomal protein L1/ribosomal biogenesis protein
